epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,116.98,1.51261,5.45677,0.93618,0.2409,0.22954,0.1166,0.0469,1.75631,3.49883,1.18448,0.000665331,0.000665331,0.000665331
2,230.218,1.71958,2.02884,1.05414,0.3467,0.27184,0.2109,0.08822,1.91882,2.34222,1.26497,0.00130562,0.00130562,0.00130562
3,343.145,1.67674,2.38373,1.01859,0.00879,0.35922,0.00681,0.00314,1.70545,168.707,1.85874,0.00191952,0.00191952,0.00191952
4,455.297,1.62262,4.37009,1.04153,0.41675,0.24757,0.27607,0.10919,1.74567,2.18229,1.19942,0.0018812,0.0018812,0.0018812
5,567.547,1.5732,1.67297,0.98252,0.35632,0.31978,0.29947,0.12678,1.66917,1.79402,1.14092,0.0018416,0.0018416,0.0018416
6,679.642,1.47893,1.48628,0.93573,0.43143,0.26153,0.28392,0.11889,1.78429,1.99029,1.16335,0.001802,0.001802,0.001802
7,792.099,1.46699,1.48709,0.95145,0.36151,0.24272,0.25997,0.10116,1.70984,2.06967,1.14398,0.0017624,0.0017624,0.0017624
8,905.093,1.44519,1.43785,0.9445,0.60851,0.36893,0.43592,0.19707,1.64058,1.44855,1.10338,0.0017228,0.0017228,0.0017228
9,1017.48,1.44879,1.42302,0.9567,0.47617,0.35437,0.37852,0.18461,1.67924,1.57007,1.10624,0.0016832,0.0016832,0.0016832
10,1129.96,1.49563,1.4726,0.94786,0.54242,0.32801,0.36026,0.16845,1.58988,1.71906,1.05576,0.0016436,0.0016436,0.0016436
11,1242.44,1.38389,1.38538,0.90529,0.50545,0.35437,0.38128,0.17118,1.52755,1.62169,1.05346,0.001604,0.001604,0.001604
12,1354.89,1.45942,1.38689,0.94339,0.65357,0.34466,0.36979,0.18631,1.53938,1.59727,1.06261,0.0015644,0.0015644,0.0015644
13,1466.81,1.28126,1.2348,0.84671,0.62518,0.37245,0.43084,0.18826,1.57078,1.50554,1.06344,0.0015248,0.0015248,0.0015248
14,1579.11,1.38048,1.26164,0.87112,0.62111,0.40291,0.44985,0.22887,1.53095,1.41161,1.0751,0.0014852,0.0014852,0.0014852
