epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,110.149,2.05325,5.60875,1.2948,0.04757,0.5,0.03381,0.01368,2.16345,13.2019,1.70344,0.000659574,0.000659574,0.000659574
2,202.204,1.98704,1.95686,1.33954,0.00103,0.23301,0.0006,0.00024,nan,nan,nan,0.00131311,0.00131311,0.00131311
3,293.024,2.04426,1.49681,1.40131,0.61711,0.53883,0.57532,0.22412,2.13316,1.71187,1.56823,0.00195345,0.00195345,0.00195345
4,386.682,1.98839,1.4447,1.36645,0.03057,0.53398,0.02338,0.0095,1.97121,12.9554,1.4544,0.0019406,0.0019406,0.0019406
5,482.479,1.92463,1.34493,1.33416,0.6677,0.61165,0.59968,0.23448,2.06306,1.48855,1.46497,0.0019208,0.0019208,0.0019208
6,583.968,1.87156,1.24599,1.29062,0.70389,0.57767,0.61863,0.28441,1.94942,1.44599,1.37943,0.001901,0.001901,0.001901
7,674.245,1.81019,1.13101,1.25385,0.71374,0.61165,0.63647,0.29107,1.98774,1.30105,1.4171,0.0018812,0.0018812,0.0018812
8,765.928,1.82873,1.13565,1.23533,0.77272,0.61067,0.66185,0.30613,2.01535,1.32581,1.45151,0.0018614,0.0018614,0.0018614
9,857.136,1.76777,1.13611,1.21085,0.68442,0.67961,0.67202,0.30376,1.87335,1.3763,1.37391,0.0018416,0.0018416,0.0018416
10,944.235,1.72793,1.00975,1.20544,0.73536,0.6205,0.68235,0.3016,2.04763,1.26827,1.40356,0.0018218,0.0018218,0.0018218
11,1038.32,1.71976,1.02264,1.20388,0.73913,0.67395,0.67943,0.30787,1.97866,1.3255,1.38462,0.001802,0.001802,0.001802
12,1130.37,1.68377,1.02227,1.20031,0.65793,0.6068,0.60741,0.24295,2.04839,1.46948,1.39985,0.0017822,0.0017822,0.0017822
13,1213.86,1.71065,1.01849,1.18552,0.7363,0.59638,0.67232,0.31173,1.90073,1.22136,1.35015,0.0017624,0.0017624,0.0017624
14,1296.94,1.72014,1.02713,1.21213,0.66343,0.66505,0.63245,0.26238,1.96347,1.38957,1.42921,0.0017426,0.0017426,0.0017426
15,1377.71,1.67846,1.01779,1.2127,0.69937,0.66505,0.6922,0.31963,1.95007,1.24958,1.33764,0.0017228,0.0017228,0.0017228
16,1463.4,1.67237,0.96262,1.19526,0.7321,0.65002,0.62962,0.2846,2.01301,1.27975,1.45846,0.001703,0.001703,0.001703
17,1547.44,1.62428,0.96244,1.15428,0.76088,0.67476,0.70134,0.32788,1.86089,1.21916,1.32807,0.0016832,0.0016832,0.0016832
18,1643.76,1.59723,0.92625,1.15613,0.72461,0.68974,0.71774,0.32206,1.91117,1.15777,1.33714,0.0016634,0.0016634,0.0016634
19,1740.51,1.58181,0.8833,1.12718,0.67709,0.70235,0.70877,0.35626,1.86543,1.23532,1.33238,0.0016436,0.0016436,0.0016436
20,1827.8,1.64188,0.92803,1.17023,0.73901,0.67353,0.69073,0.33028,1.87495,1.26376,1.32398,0.0016238,0.0016238,0.0016238
21,1910.4,1.61137,0.92048,1.17098,0.8127,0.6699,0.69741,0.28381,2.03649,1.19448,1.38483,0.001604,0.001604,0.001604
22,2006.53,1.56633,0.8495,1.14226,0.7513,0.70874,0.72364,0.35441,1.89968,1.15449,1.32612,0.0015842,0.0015842,0.0015842
23,2094.12,1.62511,0.87933,1.12067,0.64189,0.6613,0.65752,0.30891,1.98606,1.27167,1.36667,0.0015644,0.0015644,0.0015644
24,2180.38,1.57513,0.88788,1.11215,0.68131,0.73301,0.71943,0.35832,1.83558,1.20669,1.30895,0.0015446,0.0015446,0.0015446
25,2264.31,1.54123,0.86954,1.1415,0.73974,0.64563,0.6439,0.30448,1.9596,2.25312,1.36575,0.0015248,0.0015248,0.0015248
26,2347.23,1.55302,0.85676,1.1263,0.72957,0.65481,0.69942,0.33754,1.80263,1.17567,1.291,0.001505,0.001505,0.001505
27,2436.47,1.49005,0.8242,1.12718,0.75007,0.68472,0.7162,0.34524,1.77614,1.1283,1.28597,0.0014852,0.0014852,0.0014852
28,2520.08,1.52104,0.85472,1.07311,0.73777,0.71845,0.72174,0.33183,1.80372,1.05302,1.29761,0.0014654,0.0014654,0.0014654
29,2603.89,1.52251,0.81131,1.148,0.74244,0.71359,0.73573,0.3613,1.82935,1.20712,1.32568,0.0014456,0.0014456,0.0014456
30,2687.35,1.47114,0.76456,1.07561,0.81205,0.67115,0.73364,0.35462,1.81067,1.08031,1.33619,0.0014258,0.0014258,0.0014258
31,2772.39,1.45867,0.76932,1.08163,0.77463,0.66505,0.72673,0.36499,1.83019,1.1469,1.30441,0.001406,0.001406,0.001406
32,2855.47,1.45347,0.76287,1.10372,0.72136,0.71635,0.7164,0.3379,1.88831,1.11292,1.34848,0.0013862,0.0013862,0.0013862
33,2937.42,1.45649,0.75447,1.07364,0.76313,0.6725,0.71417,0.33863,1.88035,1.12693,1.36201,0.0013664,0.0013664,0.0013664
34,3020.59,1.47295,0.78041,1.09314,0.77233,0.70874,0.72975,0.35324,1.88446,1.06337,1.33861,0.0013466,0.0013466,0.0013466
35,3105.03,1.42981,0.73138,1.07157,0.76231,0.71618,0.73979,0.35591,1.83247,1.07603,1.29326,0.0013268,0.0013268,0.0013268
36,3189.57,1.43045,0.73216,1.0729,0.78722,0.69903,0.73306,0.34657,1.89569,1.07565,1.40961,0.001307,0.001307,0.001307
37,3274.28,1.43128,0.84141,1.06779,0.76264,0.69417,0.73392,0.34327,1.89576,1.12003,1.36702,0.0012872,0.0012872,0.0012872
38,3361.24,1.42054,0.73774,1.08067,0.74407,0.69154,0.70133,0.33954,1.90518,1.15535,1.37257,0.0012674,0.0012674,0.0012674
39,3446.64,1.38873,0.71845,1.06172,0.70205,0.72063,0.73139,0.35452,1.78663,1.04048,1.2723,0.0012476,0.0012476,0.0012476
40,3534.56,1.3964,0.72202,1.06143,0.70542,0.73786,0.72925,0.35658,1.81434,1.19363,1.29834,0.0012278,0.0012278,0.0012278
41,3619.37,1.42269,0.74901,1.06221,0.8028,0.71143,0.75103,0.35358,1.83351,1.30252,1.36573,0.001208,0.001208,0.001208
42,3706.16,1.35392,0.7022,1.04675,0.72618,0.73383,0.73556,0.34611,1.82338,1.08168,1.3184,0.0011882,0.0011882,0.0011882
43,3789.84,1.39224,0.73084,1.07272,0.77593,0.64078,0.69449,0.32705,1.88373,1.2366,1.33221,0.0011684,0.0011684,0.0011684
